datetime,/delta/m5/c12
2016-12-01 02:53:52+00:00,0.49921875
2016-12-01 02:54:52+00:00,0.49903125000000004
2016-12-01 02:55:52+00:00,0.49920703125
2016-12-01 02:56:52+00:00,0.49887890625000003
2016-12-01 02:57:52+00:00,0.498703125
2016-12-01 02:58:51+00:00,0.49879687500000003
2016-12-01 02:59:51+00:00,0.49884375000000003
2016-12-01 03:00:51+00:00,0.49900781250000004
2016-12-01 03:01:51+00:00,0.4994765625
2016-12-01 03:02:51+00:00,0.49969921875
2016-12-01 03:03:51+00:00,0.49967578125
2016-12-01 03:04:51+00:00,0.4994765625
2016-12-01 03:05:51+00:00,0.49939453125
2016-12-01 03:06:51+00:00,0.499125
2016-12-01 03:07:52+00:00,0.49890234375000003
2016-12-01 03:08:51+00:00,0.498703125
2016-12-01 03:09:51+00:00,0.49893750000000003
2016-12-01 03:10:50+00:00,0.49900781250000004
2016-12-01 03:11:51+00:00,0.49899609375000004
2016-12-01 03:12:50+00:00,0.49891406250000003
2016-12-01 03:13:50+00:00,0.49882031250000003
2016-12-01 03:14:50+00:00,0.49885546875000003
2016-12-01 03:15:50+00:00,0.4991015625
2016-12-01 03:16:50+00:00,0.4991953125
2016-12-01 03:17:49+00:00,0.499171875
2016-12-01 03:18:50+00:00,0.49958203125
2016-12-01 03:19:49+00:00,0.4994765625
2016-12-01 03:20:49+00:00,0.49955859375
2016-12-01 03:21:49+00:00,0.49955859375
2016-12-01 03:22:49+00:00,0.4995
2016-12-01 03:23:49+00:00,0.49939453125
2016-12-01 03:24:49+00:00,0.49959375
2016-12-01 03:25:49+00:00,0.49951171875
2016-12-01 03:26:49+00:00,0.499546875
2016-12-01 03:27:49+00:00,0.49918359375
2016-12-01 03:28:48+00:00,0.49916015625
2016-12-01 03:29:49+00:00,0.4992890625
2016-12-01 03:30:48+00:00,0.49916015625
2016-12-01 03:31:48+00:00,0.49882031250000003
2016-12-01 03:32:49+00:00,0.4987734375
2016-12-01 03:33:48+00:00,0.49892578125000003
2016-12-01 03:34:49+00:00,0.49927734375
2016-12-01 03:35:48+00:00,0.49925390625
2016-12-01 03:36:48+00:00,0.4992890625
2016-12-01 03:37:47+00:00,0.4993125
2016-12-01 03:38:48+00:00,0.49965234375
2016-12-01 03:39:47+00:00,0.4994765625
2016-12-01 03:40:47+00:00,0.4996171875
2016-12-01 03:41:47+00:00,0.49965234375
2016-12-01 03:42:47+00:00,0.49930078125
2016-12-01 03:43:47+00:00,0.4992421875
2016-12-01 03:44:47+00:00,0.4992421875
2016-12-01 03:45:47+00:00,0.49925390625
2016-12-01 03:46:47+00:00,0.49913671875
2016-12-01 03:47:47+00:00,0.49908984375
2016-12-01 03:48:47+00:00,0.49892578125000003
2016-12-01 03:49:47+00:00,0.49899609375000004
2016-12-01 03:50:47+00:00,0.498703125
2016-12-01 03:51:46+00:00,0.49864453125
2016-12-01 03:52:47+00:00,0.49864453125
2016-12-01 03:53:46+00:00,0.49864453125
2016-12-01 03:54:46+00:00,0.49873828125
2016-12-01 03:55:46+00:00,0.499125
2016-12-01 03:56:46+00:00,0.49921875
2016-12-01 03:57:46+00:00,0.49920703125
2016-12-01 03:58:46+00:00,0.499171875
2016-12-01 03:59:46+00:00,0.49939453125
2016-12-01 04:00:45+00:00,0.4994296875
2016-12-01 04:01:46+00:00,0.49899609375000004
2016-12-01 04:02:45+00:00,0.4991484375
2016-12-01 04:03:45+00:00,0.49921875
2016-12-01 04:04:45+00:00,0.499078125
2016-12-01 04:05:45+00:00,0.49883203125000003
