datetime,/delta/m9/c10
2017-09-29 18:10:15+00:00,0.48821484375
2017-09-29 18:11:13+00:00,0.4879921875
2017-09-29 18:12:15+00:00,0.48755859375
2017-09-29 18:13:15+00:00,0.48723046875000003
2017-09-29 18:14:14+00:00,0.48762890625
2017-09-29 18:15:13+00:00,0.4883671875
2017-09-29 18:16:12+00:00,0.4891640625
2017-09-29 18:17:13+00:00,0.48931640625
2017-09-29 18:18:15+00:00,0.48969140625
2017-09-29 18:19:17+00:00,0.4897734375
2017-09-29 18:20:14+00:00,0.49014843750000003
2017-09-29 18:21:13+00:00,0.49008984375000003
2017-09-29 18:22:13+00:00,0.4899609375
2017-09-29 18:23:11+00:00,0.48975
2017-09-29 18:24:12+00:00,0.4898203125
2017-09-29 18:25:14+00:00,0.49010156250000003
2017-09-29 18:26:12+00:00,0.49024218750000004
2017-09-29 18:27:10+00:00,0.49039453125
2017-09-29 18:28:11+00:00,0.4902890625
2017-09-29 18:29:10+00:00,0.49018359375000004
2017-09-29 18:30:11+00:00,0.49006640625000003
2017-09-29 18:31:12+00:00,0.49013671875000003
2017-09-29 18:32:10+00:00,0.49018359375000004
2017-09-29 18:33:10+00:00,0.49016015625000003
2017-09-29 18:34:08+00:00,0.49048828125
2017-09-29 18:35:09+00:00,0.4906171875
2017-09-29 18:36:10+00:00,0.49065234375
2017-09-29 18:37:10+00:00,0.4907109375
2017-09-29 18:38:10+00:00,0.49086328125
2017-09-29 18:39:07+00:00,0.49107421875
2017-09-29 18:40:08+00:00,0.491015625
2017-09-29 18:41:10+00:00,0.49055859375
2017-09-29 18:42:11+00:00,0.49016015625000003
2017-09-29 18:43:13+00:00,0.48976171875
2017-09-29 18:44:07+00:00,0.49008984375000003
2017-09-29 18:45:06+00:00,0.49004296875000003
2017-09-29 18:46:07+00:00,0.48999609375000003
2017-09-29 18:47:06+00:00,0.48999609375000003
2017-09-29 18:48:09+00:00,0.49003125000000003
2017-09-29 18:49:08+00:00,0.489890625
2017-09-29 18:50:05+00:00,0.49006640625000003
2017-09-29 18:51:06+00:00,0.49019531250000004
2017-09-29 18:52:05+00:00,0.49039453125
2017-09-29 18:53:07+00:00,0.49058203125
2017-09-29 18:54:07+00:00,0.49065234375
2017-09-29 18:55:08+00:00,0.49093359375
2017-09-29 18:56:04+00:00,0.4911328125
2017-09-29 18:57:04+00:00,0.4914375
2017-09-29 18:58:06+00:00,0.49167187500000004
2017-09-29 18:59:04+00:00,0.49198828125
2017-09-29 19:00:06+00:00,0.49245703125
2017-09-29 19:01:03+00:00,0.49303125000000003
2017-09-29 19:02:03+00:00,0.493546875
2017-09-29 19:03:08+00:00,0.49388671875
2017-09-29 19:04:05+00:00,0.49434375
